val|chr|  
  0| א | ox, bull, gentle, tame, the leader, strength, what is first, Adonai(Lord), thousand, teach
  1| ב | tent, house, the body, household, family, inside, within, in, amind, heart
  3| ג | camel, foot, something lifted up (like camel from it's knees), self-will or pride
  4| ד | door, pathway, movement (into or out of), path, way of life
  5| ה | behold, overwhelmed, show, reveal, spirit
  6| ו | nail, peg, hook, join (together), making secure, becoming bound (nailed to), add, connect, and
  7| ז | plow, weapon, cut off
  8| ח |
  9| ט |
 10| י |
 20| ךכ|
 30| ל |
 40| םמ|
 50| ןנ|
 60| ס |
 70| ע |
 80| ףפ|
 90| ץצ|
100| ק |
200| ר |
300| ש |
400| ת |
