1 | א | "" | wół; byk; delikatny; oswoić; lider; wytrzymałość; móc; moc; co jest pierwsze; Adonai (mistrz); tysiąc; nauczyć
2 | ב | B | namiot; dom; ciało; gospodarstwo domowe; rodzina; wewnątrz; w;  pośród; serce |
3 | ג | G | wielbłąd; stopa; Coś podniosło się (jak wielbłąd z jego kolan); Walka lub duma |
4 | ד | D | drzwi; ścieżka; ruch (do lub z); ścieżka; sposób życia |
5 | ה | H | ujrzeć; przytłoczony; pokazywać; ujawnić; Duch |
6 | ו | vou | gwóźdź; kołek; hak; dołączyć (razem); bezpieczne; staje się związany (przybity do); dodać; łączyć; i |
7 | ז | Z | pług; broń; miecz; topór; uciąć; do cięcia; do przebicia |
8 | ח | CH | ściana; ogrodzenie; Wewnętrzny pokój; oddzielny; odciąć od; chronić; rozdzielenie; podziel |
9 | ט | Te | koszyk; wąż; otaczać; skręcić; Skręca lub cewka |
10 | י | YJ | ręka (zamknięta lub zamykająca); czyn; pracować; wykonana praca; gotowa praca |
20 | ךכ | K | dłoń; Otwarte; schylać się; krzywa; skrzydło; na zezwolenie; do zakrycia; otwórz rękę; moc tłumienia lub podnoszenia |
30 | ל | L | laska pasterska; bydło; pręt; do kontrolowania; szturchać; zachęcić do przodu; idź w kierunku lub do przodu; uczyć; uczyć się; język; władza; prowadzenie |
40 | םמ | M | woda; potężny; masywny; Wiele chaosu; pochodzić z (jak woda w dół strumienia); Ruch |
50 | ןנ | n | nasienie; kiełkować; rozprzestrzeniać; potomstwo; potomek; działanie; życie; następca tronu; wierność; działalność; kontynuować; utrwalić; budować|
60 | ס | s | wsparcie; wsparcie; pomoc; wspierać; powolne skręcanie lub odwracanie (jak roślina oparta); laska pasterska; cierń; chronić; tarcza; ostry; przebić |
70 | ע | Gt | oko; Widzieć; wiedza; doświadczenie; Patrzeć; wygląd; zrozumieć; być widzianym; Fontanna |
80 | ףפ | pf | usta; słowo; mówić; otwarcie lub wejście; rozkaz; mówić; Otwarte; początek; Tutaj; Obecny |
90 | ץצ |  TS | człowiek leżący na boku; Haczyk rybny; przyciągnij do; coś nieuniknionego; pragnienie; kłopoty; zbiór; sprawiedliwy; polować; potrzebować; Chasing |
100 | ק | Q | Słońce na horyzoncie; koło; za; słoneczny; rewolucje; tył głowy; Co jest za; ostatni; finał; najmniej |
200 | ר | r | głowa; osoba; głowa/pierwsza; Jezus Chrystus - pierworodny; co jest najwyższe; najważniejsze; szef |
300 | ש | sh | zęby; jeść; konsumować; zniszczyć; naciskać; kość słoniowa; punkt skały; szczyt; pożerać; coś ostrego; Eh Shaddai; Wszechmogący |
400 | ת | th | przechodzić; ocena; podpisać; własność; pieczęć; przymierze; dołącz do dwóch rzeczy razem; ostatni |
